movieId,imdbId,title,year,genres,director,actors,plot,rating,runtime,language,country,poster
41,tt14824600,The Lord of the Rings: The War of the Rohirrim,2024,Animation|Action|Adventure,Kenji Kamiyama,"Brian Cox, Gaia Wise, Miranda Otto","A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the H...",6.3,134 min,English,"United States, New Zealand, Japan",https://m.media-amazon.com/images/M/MV5BOTg4OTgyMDYtMDA0NC00ZjJhLWJiOGMtMjlkM2ZjNTgxNGI0XkEyXkFqcGc@._V1_SX300.jpg
42,tt0302751,The Making of 'The Lord of the Rings',2002,Documentary,Costa Botes,"Sean Astin, Sean Bean, Cate Blanchett, Orlando Bloom","This documentary treats movie, special effect and fantasy fans to a behnd-the-scenes look at the making of The Lord of the Rings, Peter Jackson's blockbuster three-film adaptation of J.R.R. Tolkien's classic work of fiction about the battle to save Middle Earth from the power of Sauron, and the quest that must be undertaken by a single small hobbit. Includes interviews with director Jackson, stars Ian McKellen and Elijah Wood, and the rest of the cast and crew who share some of the experiences they had in making the film, as well as discuss the massive effort that went into making the myths and monsters of Middle Earth a reality.",7.8,N/A,English,New Zealand,https://m.media-amazon.com/images/M/MV5BMmE3MzQwYjYtODFmOS00M2MxLWJjYTUtZTNjYjhmYjg4MzU2XkEyXkFqcGdeQXVyMTEyMDcwNw@@._V1_SX300.jpg
43,tt0301246,A Passage to Middle-earth: The Making of 'Lord of the Rings',2001,Documentary,N/A,"Elijah Wood, Peter Jackson, Ian McKellen","This made-for-tv documentary treats fantasy and adventure fans to a behind-the-scenes look at the making of Peter Jackson's three-film adaptation of J.R.R. Tolkien's Lord of the Rings. Includes archive footage of Tolkien discussing his work, along with interviews with director Jackson and the rest of the cast and crew of the film, who share their experiences from working on the project, as well as discuss the special efforts that went into bringing this massive work to completion.",7.5,42 min,English,United States,https://m.media-amazon.com/images/M/MV5BOTc3NjA5MDYxNF5BMl5BanBnXkFtZTcwMTY4MzEyMQ@@._V1_SX300.jpg
44,tt0405185,National Geographic: Beyond the Movie - The Lord of the Rings: Return of the King,2003,Documentary,N/A,"John Rhys-Davies, Elijah Wood, Hugo Weaving",Join National Geographic for a compelling exploration of the realworld parallels to the events and characters brought to life in the epic motion picture The Lord of the Rings: The Return of the King. Discover the legacy of history...,6.3,52 min,English,United States,https://m.media-amazon.com/images/M/MV5BNmM1ZDdmZTYtMDQ0NS00Y2VlLTkzMzgtYzgyNzA4MTMxZDdjXkEyXkFqcGc@._V1_SX300.jpg
45,tt0382814,The Lord of the Rings: The Quest Fulfilled,2003,Documentary,Dan Arden,"Phil Crowley, Ian McKellen, Elijah Wood",N/A,6.6,23 min,English,United States,https://m.media-amazon.com/images/M/MV5BMzMyMGI0NTEtM2EwZC00YzYyLWJiNWYtNGY1Y2I1YjRjMWEwXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_SX300.jpg
46,tt0308561,Master of the Rings: The Unauthorized Story Behind J.R.R. Tolkien's 'Lord of the Rings',2001,Documentary,Stephen Grant,"Anke Buttner, Humphrey Carpenter, Bob Catley, Ian Collier","John Ronald Reuel Tolkien never set out to become a pop icon. But almost 30 years after his death, he has ascended to heights previously reserved for pop stars. For hundreds of thousands, ...",6.6,60 min,English,Canada,https://m.media-amazon.com/images/M/MV5BMTI1ODc4OTEwOF5BMl5BanBnXkFtZTcwNzA0NTc0MQ@@._V1_SX300.jpg
47,tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,Adventure|Family|Fantasy,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint","Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) continue their quest of finding and destroying Voldemort's (Ralph Fiennes') three remaining Horcruxes, the magical items responsible for his immortality. But as the mystical Deathly Hallows are uncovered, and Voldemort finds out about their mission, the biggest battle begins, and life as they know it will never be the same again.",8.1,130 min,"English, Latin","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BOTA1Mzc2N2ItZWRiNS00MjQzLTlmZDQtMjU0NmY1YWRkMGQ4XkEyXkFqcGc@._V1_SX300.jpg
48,tt0241527,Harry Potter and the Sorcerer's Stone,2001,Adventure|Family|Fantasy,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson","This is the tale of Harry Potter (Daniel Radcliffe), an ordinary eleven-year-old boy serving as a sort of slave for his aunt and uncle who learns that he is actually a wizard and has been invited to attend the Hogwarts School for Witchcraft and Wizardry. Harry is snatched away from his mundane existence by Rubeus Hagrid (Robbie Coltrane), the groundskeeper for Hogwarts, and quickly thrown into a world completely foreign to both him and the viewer. Famous for an incident that happened at his birth, Harry makes friends easily at his new school. He soon finds, however, that the wizarding world is far more dangerous for him than he would have imagined, and he quickly learns that not all wizards are ones to be trusted.",7.7,152 min,"English, Latin","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BNTU1MzgyMDMtMzBlZS00YzczLThmYWEtMjU3YmFlOWEyMjE1XkEyXkFqcGc@._V1_SX300.jpg
49,tt0295297,Harry Potter and the Chamber of Secrets,2002,Adventure|Family|Fantasy,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson","Forced to spend his summer holidays with his muggle relations, Harry Potter (Daniel Radcliffe) gets a real shock when he gets a surprise visitor: Dobby (Toby Jones) the house-elf, who warns Harry against returning to Hogwarts, for terrible things are going to happen. Harry decides to ignore Dobby's warning and continues with his pre-arranged schedule. But at Hogwarts, strange and terrible things are indeed happening. Harry is suddenly hearing mysterious voices from inside the walls, muggle-born students are being attacked, and a message scrawled on the wall in blood puts everyone on his or her guard, ""The Chamber Of Secrets Has Been Opened. Enemies Of The Heir, Beware"".",7.5,161 min,"English, Latin","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BNGJhM2M2MWYtZjIzMC00MDZmLThkY2EtOWViMDhhYjRhMzk4XkEyXkFqcGc@._V1_SX300.jpg
50,tt0304141,Harry Potter and the Prisoner of Azkaban,2004,Adventure|Family|Fantasy,Alfonso Cuarón,"Daniel Radcliffe, Emma Watson, Rupert Grint","Harry Potter (Daniel Radcliffe) is having a tough time with his relatives (yet again). He runs away after using magic to inflate Uncle Vernon's (Richard Griffiths') sister Marge (Pam Ferris), who was being offensive towards Harry's parents. Initially scared for using magic outside the school, he is pleasantly surprised that he won't be penalized after all. However, he soon learns that a dangerous criminal and Voldemort's trusted aide Sirius Black (Gary Oldman) has escaped from Azkaban Prison and wants to kill Harry to avenge the Dark Lord. To worsen the conditions for Harry, vile creatures called Dementors are appointed to guard the school gates and inexplicably happen to have the most horrible effect on him. Little does Harry know that by the end of this year, many holes in his past (whatever he knows of it) will be filled up and he will have a clearer vision of what the future has in store.",7.9,142 min,"English, Latin, Old English","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_SX300.jpg
51,tt0330373,Harry Potter and the Goblet of Fire,2005,Adventure|Family|Fantasy,Mike Newell,"Daniel Radcliffe, Emma Watson, Rupert Grint","Harry's (Daniel Radcliffe's) fourth year at Hogwarts is about to start and he is enjoying the summer vacation with his friends. They get the tickets to The Quidditch World Cup Final, but after the match is over, people dressed like Lord Voldemort's (Ralph Fiennes') ""Death Eaters"" set a fire to all of the visitors' tents, coupled with the appearance of Voldemort's symbol, the ""Dark Mark"" in the sky, which causes a frenzy across the magical community. That same year, Hogwarts is hosting ""The Triwizard Tournament"", a magical tournament between three well-known schools of magic : Hogwarts, Beauxbatons, and Durmstrang. The contestants have to be above the age of seventeen, and are chosen by a magical object called ""The Goblet of Fire"". On the night of selection, however, the Goblet spews out four names instead of the usual three, with Harry unwittingly being selected as the Fourth Champion. Since the magic cannot be reversed, Harry is forced to go with it and brave three exceedingly difficult tasks.",7.7,157 min,"English, French, Latin","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_SX300.jpg
52,tt0373889,Harry Potter and the Order of the Phoenix,2007,Action|Adventure|Family,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint","After a lonely summer on Privet Drive, Harry (Daniel Radcliffe) returns to a Hogwarts full of ill-fortune. Few of students and parents believe him or Dumbledore (Sir Michael Gambon) that Voldemort (Ralph Fiennes) is really back. The ministry had decided to step in by appointing a new Defense Against the Dark Arts teacher, Professor Dolores Umbridge (Imelda Staunton), who proves to be the nastiest person Harry has ever encountered. Harry also can't help stealing glances with the beautiful Cho Chang (Katie Leung). To top it off are dreams that Harry can't explain, and a mystery behind something for which Voldemort is searching. With these many things, Harry begins one of his toughest years at Hogwarts School of Witchcraft and Wizardry.",7.5,138 min,"English, Latin","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BYWJmM2M1YzItMjY1Ni00YzRmLTg5YWYtNDFmNTJjNzQ0ODkyXkEyXkFqcGc@._V1_SX300.jpg
53,tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010,Adventure|Family|Fantasy,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint","Voldemort's (Ralph Fiennes') power is growing stronger. He now has control over the Ministry of Magic and Hogwarts. Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) decide to finish Dumbledore's (Sir Michael Gambon's) work and find the rest of the Horcruxes to defeat the Dark Lord. But little hope remains for the trio and the rest of the Wizarding World, so everything they do must go as planned.",7.7,146 min,"English, Latin","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_SX300.jpg
54,tt0417741,Harry Potter and the Half-Blood Prince,2009,Action|Adventure|Family,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint","During Harry Potter's sixth year at Hogwarts, he finds a book that once belonged to the mysterious Half-Blood Prince that earns him the respect of his new Potions professor Horace Slughorn. In addition, Dumbledore must prepare Harry for the ultimate final confrontation by finding out the secret behind Voldemort's power. Meanwhile, a hidden enemy waits in the shadows to carry out a mission given to him by the Dark Lord.",7.6,153 min,"English, Latin","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg
55,tt16116174,Harry Potter 20th Anniversary: Return to Hogwarts,2022,Documentary|Family,"Casey Patterson, Joe Pearlman, Eran Creevy","Chris Columbus, Gary Oldman, Ralph Fiennes","Cast and crew members from all ""Harry Potter"" films reunite in a retrospective special to celebrate the 20th anniversary of Harry Potter and the Sorcerer's Stone (2001).",8.0,102 min,English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BZTNhNjg1NWItZThkNC00N2JiLTkzOTgtNzZjYzAyYTQ4OTEwXkEyXkFqcGc@._V1_SX300.jpg
56,tt0232500,The Fast and the Furious,2001,Action|Crime|Thriller,Rob Cohen,"Vin Diesel, Paul Walker, Michelle Rodriguez","Los Angeles street racer Dominic Toretto falls under the suspicion of the LAPD as a string of high-speed electronics truck robberies rocks the area. Brian O'Connor, an officer of the LAPD, joins the ranks of Toretto's highly skilled racing crew undercover to convict Toretto. However, O'Connor finds himself both enamored with this new world and in love with Toretto's sister, Mia. As a rival racing crew gains strength, O'Connor must decide where his loyalty really lies.",6.8,106 min,"English, Spanish","United States, Germany",https://m.media-amazon.com/images/M/MV5BZGRiMDE1NTMtMThmZS00YjE4LWI1ODQtNjRkZGZlOTg2MGE1XkEyXkFqcGc@._V1_SX300.jpg
57,tt0463985,The Fast and the Furious: Tokyo Drift,2006,Action|Crime|Thriller,Justin Lin,"Lucas Black, Zachery Ty Bryan, Shad Moss","An American teenager named Sean Boswell is a loner in school, however he challenges his rival for an illegal street racing, and he totals his car in the end of the race. To avoid time in prison he is sent to Tokyo to live with his father who is in the military. As soon as he arrives he discovers a new, fun but dangerous way of street racing in the underworld of the streets of Tokyo, Japan.",6.1,104 min,"English, Japanese, Portuguese","Germany, United States",https://m.media-amazon.com/images/M/MV5BMTQ2NTMxODEyNV5BMl5BanBnXkFtZTcwMDgxMjA0MQ@@._V1_SX300.jpg
58,tt0046969,The Fast and the Furious,1954,Crime|Drama|Film-Noir,"John Ireland, Edward Sampson","John Ireland, Dorothy Malone, Bruce Carlisle","A man wrongly imprisoned for murder breaks out of jail. He wants to clear his name, but with the police pursuing him, he's forced to take a beautiful young woman, driving a fast sports car, hostage and slip into a cross-border sports car race to try to make it to Mexico before the police get him.",5.3,73 min,English,United States,https://m.media-amazon.com/images/M/MV5BNWFkOGM0ODAtYmY1OC00ODQ4LTkxZjktYzEyZjdhYWFkOTMwXkEyXkFqcGc@._V1_SX300.jpg
59,tt0031298,Fast and Furious,1939,Comedy|Crime|Mystery,Busby Berkeley,"Franchot Tone, Ann Sothern, Ruth Hussey","Joel and Garda Sloan, a husband and wife detective team, who also sell rare books in New York, take a vacation to Seaside City. At Seaside, Joel's pal, Mike Stevens is managing and preparing for their beauty pageant. Joel is made one of the judges plus he has invested $5,000 in it, to Garda's dismay. Eric Bartell, promoter, arrives to dupe Stevens. When Ed Connors, New York racketeer arrives, Bartell is mysteriously murdered. Joel and Garda set out to investigate the murder.",6.1,73 min,English,United States,https://m.media-amazon.com/images/M/MV5BMjAyNTQ1NjA3Ml5BMl5BanBnXkFtZTgwOTIyNjIxMzE@._V1_SX300.jpg
60,tt0878117,Fast and the Furious: Tokyo Drift - The Japanese Way,2006,Short|Action,Jim Bacon,"Justin Lin, Brian Tee, Lucas Black, Sanja Milkovic Hays",Related are the difficulties and surprising ease that was found working with the Japanese crew. The Japanese citizens and their modes of dress were also educating to all.,6.6,10 min,English,USA,https://m.media-amazon.com/images/M/MV5BMTQ2NTMxODEyNV5BMl5BanBnXkFtZTcwMDgxMjA0MQ@@._V1_SX300.jpg
61,tt1008725,Tasmanian Devil: The Fast and Furious Life of Errol Flynn,2007,Documentary|Biography|Crime,Simon Nasht,"Christopher Lee, Jeffrey Meyers, Kathryn Medlock","The story of Tasmanian-born actor Errol Flynn whose short & flamboyant life, full of scandals, adventures, loves and excess was largely played out in front of the camera - either making movies or filling the newsreels and gossip magazines. Tragically he was dead from the effects of drugs and alcohol by the time he was only 50 & the myths live on. But there is another side of Flynn that is less well known - his ambitions to be a serious writer and newspaper correspondent, his documentary films and his interest in the Spanish Civil War and Castro's Cuba",7.3,60 min,English,"Australia, Germany, Netherlands, United Kingdom, Finland, Denmark, Canada",https://m.media-amazon.com/images/M/MV5BM2JhNDhkNmMtYWI3ZS00NjZiLTgwMmYtYmMwOGIwZmJlYThiXkEyXkFqcGc@._V1_SX300.jpg
62,tt0454613,"Jackie Chan: Fast, Funny and Furious",2002,Documentary,Phillip Dye,"Jackie Chan, Greg O'Neil, Chris Tucker, Brett Ratner",N/A,6.6,54 min,English,USA,https://m.media-amazon.com/images/M/MV5BNjkxNTU2MjYtMWQ0Mi00MDUyLTkyOGMtMWIyMDg1ZDRmMjhjXkEyXkFqcGdeQXVyNTMyODM3MTg@._V1_SX300.jpg
63,tt0017866,Fast and Furious,1927,Comedy,Melville W. Brown,"Reginald Denny, Barbara Worth, Claude Gillingwater","Tom Brown, a wealthy young bachelor fond of speeding, wrecks his car and is aided by Smithfield, whereupon he instantly becomes enamored of the latter's daughter, Ethel. After recuperating from the accident, Tom embarks for California to find the Smithfields. During a traffic jam, he and Smithfield get into an altercation, which results in Tom's tweaking Smithfield's nose; at the Smithfield residence, Tom visits Ethel, who is supervising the creation of a statue dedicated by her father to racing drivers. Only Ethel's and the sculptor's combined efforts prevent a battle with Smithfield. Tom agrees to impersonate Billings, a racing champion, who is to pose for the sculptor and appear at the dedication, and is forced to complete the deception by driving in a race. After numerous adventures he wins the race and the love of Ethel.",5.3,60 min,English,United States,https://m.media-amazon.com/images/M/MV5BMDU0NzIxY2QtNWZkMy00NDViLWFjNzItM2Y3YTE2MTQzYzljXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg
64,tt0247334,Fast and Furious,1924,Comedy|Short,Norman Taurog,"Lige Conley, Otto Fries, Ruth Hiatt",The day's takings from a shop are stolen and an employee gives chase to catch the crooks.,6.1,14 min,"None, English",United States,https://m.media-amazon.com/images/M/MV5BMmY2NTdmOTItODUyNi00YmI0LWE2NmYtMmFmNjgyYmYxMzEzXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg
65,tt0843849,Fast and the Furious: Tokyo Drift Peek Performance,2006,Documentary|Short,Jim Bacon,"Lucas Black, Zachery Ty Bryan, Tanner Foust, Sung Kang",N/A,7.8,30 min,English,USA,N/A
66,tt1229238,Mission: Impossible - Ghost Protocol,2011,Action|Adventure|Thriller,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg","In the fourth installment of the Mission Impossible series, Ethan Hunt and a new team race against time to track down Hendricks, a dangerous terrorist who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt by the team to stop him at the Kremlin ends in a disaster, with an explosion causing severe damage to the Kremlin and the IMF being implicated in the bombing, forcing the President to invoke Ghost Protocol, under which the IMF is disavowed, and will be offered no help or backup in any form. Undaunted, Ethan and his team chase Hendricks to Dubai, and from there to Mumbai, but several spectacular action sequences later, they might still be too late to stop a disaster.",7.4,132 min,"English, Russian, French, Arabic, Swedish","United States, United Arab Emirates, Russia, Canada, Czech Republic, India",https://m.media-amazon.com/images/M/MV5BMTY4MTUxMjQ5OV5BMl5BanBnXkFtZTcwNTUyMzg5Ng@@._V1_SX300.jpg
67,tt0117060,Mission: Impossible,1996,Action|Adventure|Thriller,Brian De Palma,"Tom Cruise, Jon Voight, Emmanuelle Béart","Based on the hit television series. Jim Phelps (Jon Voight) was sent to Prague for a mission to prevent the theft of classified material. His wife Claire (Emmanuelle Béart) and his trusted partner Ethan Hunt (Tom Cruise) were members of Phelps' team. Unfortunately, something went horribly wrong and the mission failed, leaving Ethan Hunt the seemingly lone survivor. After he reported the failed mission, Kittridge (Henry Czerny), the head of the agency, suspects Ethan of being the culprit for the failed mission. Now, Ethan uses unorthodox methods (which includes the aid of an arms dealer going by the name ""Max"" (Vanessa Redgrave)) to try to find who set him up and to clear his name.",7.2,110 min,"English, French, Czech",United States,https://m.media-amazon.com/images/M/MV5BOGZjNDlkMTYtMTJkZi00OTkzLWI4NDEtYTA2ODQyMjcwYTdlXkEyXkFqcGc@._V1_SX300.jpg
68,tt2381249,Mission: Impossible - Rogue Nation,2015,Action|Adventure|Thriller,Christopher McQuarrie,"Tom Cruise, Rebecca Ferguson, Jeremy Renner","CIA chief Hunley (Baldwin) convinces a Senate committee to disband the IMF (Impossible Mission Force), of which Ethan Hunt (Cruise) is a key member. Hunley argues that the IMF is too reckless. Now on his own, Hunt goes after a shadowy and deadly rogue organization called the Syndicate.",7.4,131 min,"English, Swedish, German, Russian","United States, China, United Kingdom, Austria, Morocco, Hong Kong",https://m.media-amazon.com/images/M/MV5BZjUwZjg2ZjAtY2RhZi00YmZjLTlhNGQtOWQwNDk1MjhhM2NhXkEyXkFqcGc@._V1_SX300.jpg
69,tt0317919,Mission: Impossible III,2006,Action|Adventure|Thriller,J.J. Abrams,"Tom Cruise, Michelle Monaghan, Ving Rhames","A man named Owen Davian kills an IMF agent that was sent undercover by the legendary Ethan Hunt, who has retired from combat missions. Hunt now has a fiancé, Julia, who believes that he works for the traffic department when he really trains younger IMF agents to go into combat. He is assigned to his last mission. His mission, should he choose to accept it is to capture Davian, who is selling a toxic weapon called the rabbits foot. But Davian is reckless, cruel, and deadly. He promises Hunt that he will find Julia, hurt her, and Ethan will be too dead to help her. The mission is no more different to others, its dangerous, smart, and impossible; but now it's personal.",6.9,126 min,"English, Italian, Mandarin, Cantonese, German, Czech","Italy, Germany, China, United States",https://m.media-amazon.com/images/M/MV5BNzY1MzdjMjYtNDJiZS00N2U4LWI0MWQtZTRiZWYxMzU3ZmI4XkEyXkFqcGc@._V1_SX300.jpg
70,tt4912910,Mission: Impossible - Fallout,2018,Action|Adventure|Thriller,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames","Two years after Ethan Hunt had successfully captured Solomon Lane, the remnants of the Syndicate have reformed into another organization called the Apostles. Under the leadership of a mysterious fundamentalist known only as John Lark, the organization is planning on acquiring three plutonium cores. Ethan and his team are sent to Berlin to intercept them, but the mission fails when Ethan saves Luther and the Apostles escape with the plutonium. With CIA agent August Walker joining the team, Ethan and his allies must now find the plutonium cores before it's too late.",7.7,147 min,"English, French","United States, China, France, Norway",https://m.media-amazon.com/images/M/MV5BZmUwZTg2YmMtMmZjOS00ZDYwLWI2ZDgtZDcyY2ZmMWMwZDdlXkEyXkFqcGc@._V1_SX300.jpg
71,tt0120755,Mission: Impossible II,2000,Action|Adventure|Thriller,John Woo,"Tom Cruise, Dougray Scott, Thandiwe Newton","Chimera is a deadly virus that will bear a grisly death unless you are given the antidote. The creator of Chimera is murdered and the antidote is stolen by a disavowed I.M.F. Agent, Sean Ambrose (Dougray Scott). The Impossible Mission Force, (I.M.F.), hire the skilled and charming Ethan Hunt (Tom Cruise), and the beautiful Nyah Hall (Thandie Newton), who has had her share with Ambrose. Their mission, should they choose to accept it, is to send Hall undercover to Ambrose and learn what she can for Hunt to bring down Chimera, but they will have to break into a secure lab by jumping off of buildings and dodging bullets. Its impossible.",6.1,123 min,English,"Germany, United States",https://m.media-amazon.com/images/M/MV5BYWFjM2NhMTAtNDU1My00ODUxLTkwMzYtODQzNzM0ODM0ZWQ0XkEyXkFqcGc@._V1_SX300.jpg
72,tt9603212,Mission: Impossible - Dead Reckoning Part One,2023,Action|Adventure|Thriller,Christopher McQuarrie,"Tom Cruise, Hayley Atwell, Ving Rhames",Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,7.6,163 min,"English, Italian, Russian, French",United States,https://m.media-amazon.com/images/M/MV5BN2U4OTdmM2QtZTkxYy00ZmQyLTg2N2UtMDdmMGJmNDhlZDU1XkEyXkFqcGc@._V1_SX300.jpg
73,tt9603208,Mission: Impossible - The Final Reckoning,2025,Action|Adventure|Thriller,Christopher McQuarrie,"Tom Cruise, Hayley Atwell, Ving Rhames","Hunt and the IMF pursue a dangerous AI called the Entity that's infiltrated global intelligence. With governments and a figure from his past in pursuit, Hunt races to stop it from forever changing the world.",7.2,169 min,"English, French, Russian, Inuktitut","United States, Norway",https://m.media-amazon.com/images/M/MV5BZGQ5NGEyYTItMjNiMi00Y2EwLTkzOWItMjc5YjJiMjMyNTI0XkEyXkFqcGc@._V1_SX300.jpg
74,tt0063310,Mission Impossible Versus the Mob,1969,Action|Adventure,Paul Stanley,"Peter Graves, Martin Landau, Barbara Bain","Frank Wayne, the big boss of the mafia, is em movement all his money to Switzerland, costing much to the State. The IMF attempts to stop him. Jim Phelps plays an investigator from the Senate who harassment Wayne and finally arrests him. Wayne is switched with Rollin Hand, disguised as Wayne. Rollin is then obtained his real face back under the cover of instant aesthetic surgery performed by Cinnamon Carter, who is actually only removing his makeup. Againts the will of the Organisation's council, Wayne/Hand orders his henchman to kill the investigator by exploding his car. Phelps escapes the attack thanks to a trapdoor in the bottom of the car, leading to a sewer opening on top of which the car was parked. Meanwhile, Hand manages to open the safe of Wayne's office in which all the Organisation's ledgers are hidden. Wayne's is then sentence to death by a full council, but Wayne/Hand manages to escape through one elevator. Barney Collier had previously fixed the elevator so that it is synchronized with the one just next to it. Hand crawls into the second elevator while both are descending, rejoining his associates, and the real Wayne (sedated until then) is put back into the first one and reanimated. When the elevator reaches the underground parking lot, Wayne wakes up just in time to be killed by his henchman. The IMF members leave the place unnoticed just as the police arrives, called earlier by Cinnamon.",7.1,110 min,English,United States,https://m.media-amazon.com/images/M/MV5BNWM5MTA0MGUtMWJkMy00MmUxLTg1ZGMtYTllZjdmMTMzOGViXkEyXkFqcGc@._V1_SX300.jpg
75,tt3290714,Mission Impossible: Samurai,2014,Action|Comedy|History,Katsuhide Motoki,"Kuranosuke Sasaki, Kyôko Fukada, Tsuyoshi Ihara","During the reign of the eighth shogun of the Tokugawa shogunate, the Yunagaya Domain in the Tohoku region is a small han. But at the han, there is a gold mine. Suddenly, Masaatsu Naito of Yunagaya Domain receives an order to perform Sankin-kotai within 5 days. Sankin-kotai is a custom that requires the daimyo to visit the shogun in Edo. Unfortunately, the time needed to visit the shogun in Edo for Masaatsu Naito is 8 days. Masaatsu Naito also learns he received the order because a high ranking government official wants the gold mine. Also, the expense for Sankin-kotai is high and the Yunagaya Domain is such a small han that it seems impossible to complete. Nevertheless, Masaatsu Naito begins an unexpected operation to complete Sankin-kotai in 5 days.",6.2,119 min,Japanese,Japan,https://m.media-amazon.com/images/M/MV5BODkxOGY2YTQtZTI2OC00MzAzLWI1MDctYWU5OTEzOTUzOTBjXkEyXkFqcGc@._V1_SX300.jpg
76,tt3732110,Jatt James Bond,2014,Comedy,Rohit Jugraj,"Gippy Grewal, Zareen Khan, Gurpreet Ghuggi",Shinda was mistreated by his relatives therefore he finds other ways to have his love Laali. Shinda and his two other friends come up with a plan to solve all of their problems.,6.8,220 min,Punjabi,India,https://m.media-amazon.com/images/M/MV5BMDUzMTdlYWEtOTVlYi00YjJhLWFmZmItZDk4Y2Y4NmQ4ZGJhXkEyXkFqcGc@._V1_SX300.jpg
77,tt0239074,The James Bond Story,1999,Documentary,Chris Hunt,"Sean Connery, Michael G. Wilson, Roger Moore","Bond, James Bond. Perhaps the greatest fictional cinema icon ever. He first appeared on the big screen in 1962 in Dr. No, and has remained the most powerful action hero ever since. The secret to his success is his adaptability. No matter what tight spot he finds himself, he always appears to be suave, sophisticated and cool. As a spy Bond is constantly reinventing himself, and on the big screen he has done this five times, as Sean Connery, Roger Moore, George Lazenby, Timothy Dalton and Pierce Brosnan. The documentary looks at the different characterizations each actor has brought to the role to discover the elements that make up Bond. It also traces the character back to its origin, the Bond novels by Ian Fleming, whose creation was semi-autobiographical. From the gadgets to the girls, The James Bond Story also features interviews with Q (the late Desmond Llewelyn), Maud Adams, Jane Seymour, Terence Young (Director), Cubby Broccoli (Producer), Ian Fleming and more, along with extensive film clips from Dr. No to The World is Not Enough. This action-packed documentary presents an in-depth look at the quintessential spy who has a license to kill.",7.1,52 min,English,United States,https://m.media-amazon.com/images/M/MV5BMTg1ODc0MjkzMF5BMl5BanBnXkFtZTcwMDY2NzEyMQ@@._V1_SX300.jpg
78,tt1858469,James Bond Supports International Women's Day,2011,Short|Action,Sam Taylor-Johnson,"Judi Dench, Daniel Craig","This short film is made by 'We Are Equals' to celebrate International Women's Day. James Bond video for international women's day shows 007's feminine side. Daniel Craig and Dame Judi Dench team up for two-minute film highlighting the need for gender equality. 007 star Daniel Craig undergo a dramatic makeover as he puts himself, quite literally, in a woman's shoes.",5.7,2 min,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BYjRhYzM2YjMtZTNjOS00OThlLTgwZTQtNTVjZDAzZWU1YzM2XkEyXkFqcGc@._V1_SX300.jpg
79,tt22498916,Sean Connery vs James Bond,2022,Documentary|Action|Biography,Gregory Monro,"Sean Connery, John Boorman, Andy Garcia","Having become a world star thanks to James Bond, Sean Connery, who died in 2020, has never stopped trying to shed the image of a sexy and slightly brutal macho that stuck to 007. A look back at an eclectic career, carried out with...",7.1,53 min,English,"France, Switzerland, Belgium, Poland, Ireland, Austria, Czech Republic, Netherlands, Israel, Brazil",https://m.media-amazon.com/images/M/MV5BNTJjZTEzMTEtZDFlNS00NThkLThkYTEtZTMwMTdkMmNmZDMzXkEyXkFqcGc@._V1_SX300.jpg
